"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SN2002is","2002/10/30","21.4","-19","A002315+0053","0.26,0.26","Ia","0.0197",""
"SDSS-II SN 5747","2005/10/11","21.99","-19.79","SDSS J02316.61+004044.3","0.476,0.397,0.469,0.489","Ia","0.0213",""
"SN2016fod","2016/08/30","18.73","-18","","0.06,0.06","Ia","0.022",""
"SDSS-II SN 4048","2005/09/24","21.49","-20.0829","SDSS J02339.57+004658.3","0.434924","Ia","0.0197",""
"SDSS-II SN 16219","","20.63","-19.7759","SDSS J02350.12+004053.6","0.258864","Ia","0.0201",""
"SDSS-II SN 14845","2006/09/27","22.02","-19.1212","SDSS J02354.43+000456.6","0.358926","Ia","0.0252",""
"SDSS-II SN 19339","2007/10/08","21.45","-19.43","","0.319,0.0785","Ia","0.0219",""
"SN2018gcj","2018/09/03","18.69","-19","","0.08,0.08","Ia Pec","0.0236",""
"SN2018ffn","2018/08/18","19.33","-19","","0.1,0.1","Ia","0.0328",""
"SDSS-II SN 5917","2005/10/12","21.12","-19.5905","SDSS J02408.96-001519.9","0.296412","Ia","0.022",""
"SN2006hp","2006/09/16","20.83","-19.48","SDSS J02414.24-001457.3","0.248,0.223,0.289","Ia","0.0217",""
"SDSS-II SN 19501","","20.82","-18.267","SDSS J02415.90-002720.0","0.143658","Ia","0.0217",""
"SN2016edh","2016/06/13","18.59","-20.0242","","0.11617","Ia","0.013",""
"SDSS-II SN 1415","2005/09/14","20.99","-18.9672","SDSS J02425.55+003556.4","0.211988","Ia","0.0195",""
"SDSS-II SN 18893","","","","","0.193,0.176","Ia","0.0207",""
"SN2006go","2006/09/12","21.68","-19.542","SDSS J02433.66-001646.4","0.372057","Ia","0.0206",""
"SDSS-II SN 5691","2005/10/11","21.52","-19.1089","SDSS J02436.55-001005.9","0.285848","Ia","0.021",""
"SDSS-II SN 13897","","20.48","-19.6779","SDSS J02437.53-000133.7","0.231818","Ia","0.0235",""
"SDSS-II SN 15950","","20.62","-19.4248","SDSS J02445.31+005902.6","0.220428","Ia","0.0188",""
"SDSS-II SN 9239","2005/10/27","21.83","-19.79","","0.445,0.375","Ia","0.0192",""
"SDSS-II SN 7699","2005/10/21","21.56","-19.8614","SDSS J02457.29-011256.6","0.406559","Ia","0.0196",""
"SDSS-II SN 15988","2006/09/30","21.61","-19.5461","SDSS J02500.91+000032.1","0.361309","Ia","0.0242",""
"SN2017ict","2017/11/11","18.5","-19.7","2MASX J00250080-3759089","0.095","Ia","0.0116",""
"SDSS-II SN 18049","2007/09/19","21.06","-19.59","SDSS J02514.54-002203.0","0.2886","Ia","0.0197",""
"SN2007A","2007/01/02","15.64","-18.2","NGC 105","0.016463,0.01648,0.01765","Ia","0.0631",""
"SN1997cw","1997/07/10","15.95","-17.9","NGC 105","0.01765,0.01765","Ia","0.0629",""
"SN1572A","1572/11/06","-4","-16.2","Milky Way","","I","",""
"SN2006qz","2006/10/23","20.2","-18.8","A002521+1751","0.14,0.14","Ia","0.0419",""
"SN2007kr","2007/09/14","20.95","-19.65","SDSS J02527.58-005021.4","0.282,0.239,0.356","Ia","0.0187",""
"SDSS-II SN 18324","2007/09/15","21.4","-19.0753","SDSS J02531.45+004737.8","0.266984","Ia","0.0201",""
"SDSS-II SN 11730","","21.34","","SDSS J02535.55-003236.2","","Ia","0.0195",""
"SN2016eui","2016/08/05","19.18","-18","2MASX J00254522-0257551","0.07,0.07","Ia","0.0244",""
"SN2018enk","2018/07/31","17.54","-19","","0.05,0.05","Ia","0.0161",""
"SDSS-II SN 19764","2007/10/08","21.85","-19.5654","SDSS J02554.53+011130.5","0.405473","Ia","0.0228",""
"SDSS-II SN 7701","2005/10/26","21.48","-19.676","SDSS J02604.13-011344.9","0.3613","Ia","0.0187",""
"SN2017hql","2017/10/23","17.29","-18.6","UGC 248","0.034,0.034","Ia","0.0324",""
"SDSS-II SN 9954","2005/11/05","20.91","-19.2149","SDSS J02620.12-002533.5","0.228429","Ia","0.0176",""
"SDSS-II SN 13806","2006/09/16","21.08","","SDSS J02622.78+003640.0","","Ia","0.0213",""
"SN2007jb","2007/09/04","20.71","-19.661","SDSS J02633.79+000230.9","0.2549","Ia","0.0201",""
"SN2006ff","2006/08/28","20.63","-19.5608","SDSS J02635.42-001811.8","0.23524,0.24","Ia","0.0182",""
